topic,day,mentions,rolling_7d_mentions,rolling_21d_mentions
AI music,2026-03-02,1.0,1.0,1.0
AI music,2026-03-03,0.0,0.5,0.5
AI music,2026-03-04,0.0,0.3333333333333333,0.3333333333333333
AI music,2026-03-05,0.0,0.25,0.25
AI music,2026-03-06,1.0,0.4,0.4
AI music,2026-03-07,1.0,0.5,0.5
AI music,2026-03-08,1.0,0.5714285714285714,0.5714285714285714
AI music,2026-03-09,0.0,0.42857142857142855,0.5
AI music,2026-03-10,2.0,0.7142857142857143,0.6666666666666666
AI music,2026-03-11,1.0,0.8571428571428571,0.7
AI music,2026-03-12,4.0,1.4285714285714286,1.0
AI music,2026-03-13,0.0,1.2857142857142858,0.9166666666666666
AI music,2026-03-14,0.0,1.1428571428571428,0.8461538461538461
AI music,2026-03-15,5.0,1.7142857142857142,1.1428571428571428
AI music,2026-03-16,1.0,1.8571428571428572,1.1333333333333333
AI music,2026-03-17,2.0,1.8571428571428572,1.1875
AI music,2026-03-18,0.0,1.7142857142857142,1.1176470588235294
AI music,2026-03-19,1.0,1.2857142857142858,1.1111111111111112
AI music,2026-03-20,1.0,1.4285714285714286,1.105263157894737
AI music,2026-03-21,2.0,1.7142857142857142,1.15
AI music,2026-03-22,3.0,1.4285714285714286,1.2380952380952381
AI music,2026-03-23,1.0,1.4285714285714286,1.2380952380952381
AI music,2026-03-24,0.0,1.1428571428571428,1.2380952380952381
AI music,2026-03-25,1.0,1.2857142857142858,1.2857142857142858
AI music,2026-03-26,0.0,1.1428571428571428,1.2857142857142858
AI music,2026-03-27,0.0,1.0,1.2380952380952381
AI music,2026-03-28,5.0,1.4285714285714286,1.4285714285714286
AI music,2026-03-29,0.0,1.0,1.380952380952381
AI music,2026-03-30,0.0,0.8571428571428571,1.380952380952381
AI music,2026-03-31,0.0,0.8571428571428571,1.2857142857142858
AI music,2026-04-01,1.0,0.8571428571428571,1.2857142857142858
AI music,2026-04-02,0.0,0.8571428571428571,1.0952380952380953
AI music,2026-04-03,4.0,1.4285714285714286,1.2857142857142858
AI music,2026-04-04,1.0,0.8571428571428571,1.3333333333333333
AI music,2026-04-05,0.0,0.8571428571428571,1.0952380952380953
AI music,2026-04-06,1.0,1.0,1.0952380952380953
AI music,2026-04-07,0.0,1.0,1.0
AI music,2026-04-08,1.0,1.0,1.0476190476190477
AI music,2026-04-09,1.0,1.1428571428571428,1.0476190476190477
AI music,2026-04-10,0.0,0.5714285714285714,1.0
AI music,2026-04-11,1.0,0.5714285714285714,0.9523809523809523
AI music,2026-04-12,0.0,0.5714285714285714,0.8095238095238095
AI music,2026-04-13,1.0,0.5714285714285714,0.8095238095238095
AI music,2026-04-14,1.0,0.7142857142857143,0.8571428571428571
AI music,2026-04-15,0.0,0.5714285714285714,0.8095238095238095
AI music,2026-04-16,1.0,0.5714285714285714,0.8571428571428571
AI music,2026-04-17,1.0,0.7142857142857143,0.9047619047619048
AI music,2026-04-18,0.0,0.5714285714285714,0.6666666666666666
AI music,2026-04-19,1.0,0.7142857142857143,0.7142857142857143
AI music,2026-04-20,1.0,0.7142857142857143,0.7619047619047619
AI music,2026-04-21,0.0,0.5714285714285714,0.7619047619047619
AI music,2026-04-22,0.0,0.5714285714285714,0.7142857142857143
AI music,2026-04-23,1.0,0.5714285714285714,0.7619047619047619
AI music,2026-04-24,1.0,0.5714285714285714,0.6190476190476191
AI music,2026-04-25,2.0,0.8571428571428571,0.6666666666666666
AI music,2026-04-26,0.0,0.7142857142857143,0.6666666666666666
AI music,2026-04-27,1.0,0.7142857142857143,0.6666666666666666
AI music,2026-04-28,1.0,0.8571428571428571,0.7142857142857143
AI music,2026-04-29,1.0,1.0,0.7142857142857143
Digital art,2026-03-03,2.0,2.0,2.0
Digital art,2026-03-04,2.0,2.0,2.0
Digital art,2026-03-05,0.0,1.3333333333333333,1.3333333333333333
Digital art,2026-03-06,0.0,1.0,1.0
Digital art,2026-03-07,0.0,0.8,0.8
Digital art,2026-03-08,0.0,0.6666666666666666,0.6666666666666666
Digital art,2026-03-09,0.0,0.5714285714285714,0.5714285714285714
Digital art,2026-03-10,0.0,0.2857142857142857,0.5
Digital art,2026-03-11,3.0,0.42857142857142855,0.7777777777777778
Digital art,2026-03-12,0.0,0.42857142857142855,0.7
Digital art,2026-03-13,2.0,0.7142857142857143,0.8181818181818182
Digital art,2026-03-14,1.0,0.8571428571428571,0.8333333333333334
Digital art,2026-03-15,0.0,0.8571428571428571,0.7692307692307693
Digital art,2026-03-16,2.0,1.1428571428571428,0.8571428571428571
Digital art,2026-03-17,2.0,1.4285714285714286,0.9333333333333333
Digital art,2026-03-18,0.0,1.0,0.875
Digital art,2026-03-19,1.0,1.1428571428571428,0.8823529411764706
Digital art,2026-03-20,0.0,0.8571428571428571,0.8333333333333334
Digital art,2026-03-21,0.0,0.7142857142857143,0.7894736842105263
Digital art,2026-03-22,1.0,0.8571428571428571,0.8
Digital art,2026-03-23,0.0,0.5714285714285714,0.7619047619047619
Digital art,2026-03-24,0.0,0.2857142857142857,0.6666666666666666
Digital art,2026-03-25,1.0,0.42857142857142855,0.6190476190476191
Digital art,2026-03-26,2.0,0.5714285714285714,0.7142857142857143
Digital art,2026-03-27,1.0,0.7142857142857143,0.7619047619047619
Digital art,2026-03-28,0.0,0.7142857142857143,0.7619047619047619
Digital art,2026-03-29,0.0,0.5714285714285714,0.7619047619047619
Digital art,2026-03-30,1.0,0.7142857142857143,0.8095238095238095
Digital art,2026-03-31,1.0,0.8571428571428571,0.8571428571428571
Digital art,2026-04-01,2.0,1.0,0.8095238095238095
Digital art,2026-04-02,1.0,0.8571428571428571,0.8571428571428571
Digital art,2026-04-03,1.0,0.8571428571428571,0.8095238095238095
Digital art,2026-04-04,1.0,1.0,0.8095238095238095
Digital art,2026-04-05,0.0,1.0,0.8095238095238095
Digital art,2026-04-06,0.0,0.8571428571428571,0.7142857142857143
Digital art,2026-04-07,0.0,0.7142857142857143,0.6190476190476191
Digital art,2026-04-08,0.0,0.42857142857142855,0.6190476190476191
Digital art,2026-04-09,0.0,0.2857142857142857,0.5714285714285714
Digital art,2026-04-10,0.0,0.14285714285714285,0.5714285714285714
Digital art,2026-04-11,1.0,0.14285714285714285,0.6190476190476191
Digital art,2026-04-12,4.0,0.7142857142857143,0.7619047619047619
Digital art,2026-04-13,0.0,0.7142857142857143,0.7619047619047619
Digital art,2026-04-14,1.0,0.8571428571428571,0.8095238095238095
Digital art,2026-04-15,1.0,1.0,0.8095238095238095
Digital art,2026-04-16,1.0,1.1428571428571428,0.7619047619047619
Digital art,2026-04-17,1.0,1.2857142857142858,0.7619047619047619
Digital art,2026-04-18,0.0,1.1428571428571428,0.7619047619047619
Digital art,2026-04-19,0.0,0.5714285714285714,0.7619047619047619
Digital art,2026-04-20,2.0,0.8571428571428571,0.8095238095238095
Digital art,2026-04-21,1.0,0.8571428571428571,0.8095238095238095
Digital art,2026-04-22,0.0,0.7142857142857143,0.7142857142857143
Digital art,2026-04-23,2.0,0.8571428571428571,0.7619047619047619
Digital art,2026-04-24,3.0,1.1428571428571428,0.8571428571428571
Digital art,2026-04-25,0.0,1.1428571428571428,0.8095238095238095
Digital art,2026-04-26,0.0,1.1428571428571428,0.8095238095238095
Digital art,2026-04-27,0.0,0.8571428571428571,0.8095238095238095
Digital art,2026-04-28,0.0,0.7142857142857143,0.8095238095238095
Digital art,2026-04-29,3.0,1.1428571428571428,0.9523809523809523
Digital art,2026-04-30,1.0,1.0,1.0
Mindfulness,2026-03-02,1.0,1.0,1.0
Mindfulness,2026-03-03,2.0,1.5,1.5
Mindfulness,2026-03-04,2.0,1.6666666666666667,1.6666666666666667
Mindfulness,2026-03-05,1.0,1.5,1.5
Mindfulness,2026-03-06,0.0,1.2,1.2
Mindfulness,2026-03-07,0.0,1.0,1.0
Mindfulness,2026-03-08,1.0,1.0,1.0
Mindfulness,2026-03-09,0.0,0.8571428571428571,0.875
Mindfulness,2026-03-10,0.0,0.5714285714285714,0.7777777777777778
Mindfulness,2026-03-11,1.0,0.42857142857142855,0.8
Mindfulness,2026-03-12,0.0,0.2857142857142857,0.7272727272727273
Mindfulness,2026-03-13,0.0,0.2857142857142857,0.6666666666666666
Mindfulness,2026-03-14,0.0,0.2857142857142857,0.6153846153846154
Mindfulness,2026-03-15,1.0,0.2857142857142857,0.6428571428571429
Mindfulness,2026-03-16,0.0,0.2857142857142857,0.6
Mindfulness,2026-03-17,0.0,0.2857142857142857,0.5625
Mindfulness,2026-03-18,0.0,0.14285714285714285,0.5294117647058824
Mindfulness,2026-03-19,0.0,0.14285714285714285,0.5
Mindfulness,2026-03-20,0.0,0.14285714285714285,0.47368421052631576
Mindfulness,2026-03-21,1.0,0.2857142857142857,0.5
Mindfulness,2026-03-22,1.0,0.2857142857142857,0.5238095238095238
Mindfulness,2026-03-23,0.0,0.2857142857142857,0.47619047619047616
Mindfulness,2026-03-24,1.0,0.42857142857142855,0.42857142857142855
Mindfulness,2026-03-25,0.0,0.42857142857142855,0.3333333333333333
Mindfulness,2026-03-26,0.0,0.42857142857142855,0.2857142857142857
Mindfulness,2026-03-27,0.0,0.42857142857142855,0.2857142857142857
Mindfulness,2026-03-28,0.0,0.2857142857142857,0.2857142857142857
Mindfulness,2026-03-29,2.0,0.42857142857142855,0.3333333333333333
Mindfulness,2026-03-30,0.0,0.42857142857142855,0.3333333333333333
Mindfulness,2026-03-31,1.0,0.42857142857142855,0.38095238095238093
Mindfulness,2026-04-01,0.0,0.42857142857142855,0.3333333333333333
Mindfulness,2026-04-02,1.0,0.5714285714285714,0.38095238095238093
Mindfulness,2026-04-03,0.0,0.5714285714285714,0.38095238095238093
Mindfulness,2026-04-04,0.0,0.5714285714285714,0.38095238095238093
Mindfulness,2026-04-05,0.0,0.2857142857142857,0.3333333333333333
Mindfulness,2026-04-06,1.0,0.42857142857142855,0.38095238095238093
Mindfulness,2026-04-07,0.0,0.2857142857142857,0.38095238095238093
Mindfulness,2026-04-08,3.0,0.7142857142857143,0.5238095238095238
Mindfulness,2026-04-09,0.0,0.5714285714285714,0.5238095238095238
Mindfulness,2026-04-10,0.0,0.5714285714285714,0.5238095238095238
Mindfulness,2026-04-11,2.0,0.8571428571428571,0.5714285714285714
Mindfulness,2026-04-12,1.0,1.0,0.5714285714285714
Mindfulness,2026-04-13,1.0,1.0,0.6190476190476191
Mindfulness,2026-04-14,0.0,1.0,0.5714285714285714
Mindfulness,2026-04-15,1.0,0.7142857142857143,0.6190476190476191
Mindfulness,2026-04-16,0.0,0.7142857142857143,0.6190476190476191
Mindfulness,2026-04-17,1.0,0.8571428571428571,0.6666666666666666
Mindfulness,2026-04-18,0.0,0.5714285714285714,0.6666666666666666
Mindfulness,2026-04-19,0.0,0.42857142857142855,0.5714285714285714
Mindfulness,2026-04-20,1.0,0.42857142857142855,0.6190476190476191
Mindfulness,2026-04-21,1.0,0.5714285714285714,0.6190476190476191
Mindfulness,2026-04-22,1.0,0.5714285714285714,0.6666666666666666
Mindfulness,2026-04-23,1.0,0.7142857142857143,0.6666666666666666
Mindfulness,2026-04-24,0.0,0.5714285714285714,0.6666666666666666
Mindfulness,2026-04-25,0.0,0.5714285714285714,0.6666666666666666
Mindfulness,2026-04-26,0.0,0.5714285714285714,0.6666666666666666
Mindfulness,2026-04-27,0.0,0.42857142857142855,0.6190476190476191
Mindfulness,2026-04-28,0.0,0.2857142857142857,0.6190476190476191
Mindfulness,2026-04-29,2.0,0.42857142857142855,0.5714285714285714
Sustainable fashion,2026-03-06,1.0,1.0,1.0
Sustainable fashion,2026-03-07,1.0,1.0,1.0
Sustainable fashion,2026-03-08,0.0,0.6666666666666666,0.6666666666666666
Sustainable fashion,2026-03-09,0.0,0.5,0.5
Sustainable fashion,2026-03-10,0.0,0.4,0.4
Sustainable fashion,2026-03-11,0.0,0.3333333333333333,0.3333333333333333
Sustainable fashion,2026-03-12,0.0,0.2857142857142857,0.2857142857142857
Sustainable fashion,2026-03-13,1.0,0.2857142857142857,0.375
Sustainable fashion,2026-03-14,0.0,0.14285714285714285,0.3333333333333333
Sustainable fashion,2026-03-15,2.0,0.42857142857142855,0.5
Sustainable fashion,2026-03-16,1.0,0.5714285714285714,0.5454545454545454
Sustainable fashion,2026-03-17,1.0,0.7142857142857143,0.5833333333333334
Sustainable fashion,2026-03-18,1.0,0.8571428571428571,0.6153846153846154
Sustainable fashion,2026-03-19,0.0,0.8571428571428571,0.5714285714285714
Sustainable fashion,2026-03-20,2.0,1.0,0.6666666666666666
Sustainable fashion,2026-03-21,1.0,1.1428571428571428,0.6875
Sustainable fashion,2026-03-22,0.0,0.8571428571428571,0.6470588235294118
Sustainable fashion,2026-03-23,0.0,0.7142857142857143,0.6111111111111112
Sustainable fashion,2026-03-24,3.0,1.0,0.7368421052631579
Sustainable fashion,2026-03-25,1.0,1.0,0.75
Sustainable fashion,2026-03-26,1.0,1.1428571428571428,0.7619047619047619
Sustainable fashion,2026-03-27,2.0,1.1428571428571428,0.8095238095238095
Sustainable fashion,2026-03-28,0.0,1.0,0.7619047619047619
Sustainable fashion,2026-03-29,0.0,1.0,0.7619047619047619
Sustainable fashion,2026-03-30,0.0,1.0,0.7619047619047619
Sustainable fashion,2026-03-31,1.0,0.7142857142857143,0.8095238095238095
Sustainable fashion,2026-04-01,4.0,1.1428571428571428,1.0
Sustainable fashion,2026-04-02,1.0,1.1428571428571428,1.0476190476190477
Sustainable fashion,2026-04-03,1.0,1.0,1.0476190476190477
Sustainable fashion,2026-04-04,1.0,1.1428571428571428,1.0952380952380953
Sustainable fashion,2026-04-05,1.0,1.2857142857142858,1.0476190476190477
Sustainable fashion,2026-04-06,0.0,1.2857142857142858,1.0
Sustainable fashion,2026-04-07,0.0,1.1428571428571428,0.9523809523809523
Sustainable fashion,2026-04-08,0.0,0.5714285714285714,0.9047619047619048
Sustainable fashion,2026-04-09,0.0,0.42857142857142855,0.9047619047619048
Sustainable fashion,2026-04-10,1.0,0.42857142857142855,0.8571428571428571
Sustainable fashion,2026-04-11,0.0,0.2857142857142857,0.8095238095238095
Sustainable fashion,2026-04-12,1.0,0.2857142857142857,0.8571428571428571
Sustainable fashion,2026-04-13,1.0,0.42857142857142855,0.9047619047619048
Sustainable fashion,2026-04-14,2.0,0.7142857142857143,0.8571428571428571
Sustainable fashion,2026-04-15,1.0,0.8571428571428571,0.8571428571428571
Sustainable fashion,2026-04-16,0.0,0.8571428571428571,0.8095238095238095
Sustainable fashion,2026-04-17,0.0,0.7142857142857143,0.7142857142857143
Sustainable fashion,2026-04-18,0.0,0.7142857142857143,0.7142857142857143
Sustainable fashion,2026-04-19,0.0,0.5714285714285714,0.7142857142857143
Sustainable fashion,2026-04-20,1.0,0.5714285714285714,0.7619047619047619
Sustainable fashion,2026-04-21,1.0,0.42857142857142855,0.7619047619047619
Sustainable fashion,2026-04-22,0.0,0.2857142857142857,0.5714285714285714
Sustainable fashion,2026-04-23,2.0,0.5714285714285714,0.6190476190476191
Sustainable fashion,2026-04-24,1.0,0.7142857142857143,0.6190476190476191
Sustainable fashion,2026-04-25,1.0,0.8571428571428571,0.6190476190476191
Sustainable fashion,2026-04-26,0.0,0.8571428571428571,0.5714285714285714
Sustainable fashion,2026-04-27,0.0,0.7142857142857143,0.5714285714285714
Sustainable fashion,2026-04-28,0.0,0.5714285714285714,0.5714285714285714
Sustainable fashion,2026-04-29,1.0,0.7142857142857143,0.6190476190476191
